Level 1 - Domain,Level 2 - Capability Group,Level 3 - Specific Competency
"Oil, Gas & Petrochemicals",Midstream & Logistics,Tank Farm Operations
"Oil, Gas & Petrochemicals",Midstream & Logistics,Terminal Operations Support
"Oil, Gas & Petrochemicals",Upstream Operations,Artificial Lift Optimisation
"Oil, Gas & Petrochemicals",Upstream Operations,Drilling Services Support
"Oil, Gas & Petrochemicals",Upstream Operations,Exploration Data Support
"Oil, Gas & Petrochemicals",Upstream Operations,Production Optimisation (Upstream)
"Oil, Gas & Petrochemicals",Upstream Operations,Reservoir Modelling Support
"Oil, Gas & Petrochemicals",Upstream Operations,Seismic Data Processing
"Oil, Gas & Petrochemicals",Upstream Operations,Subsea Systems Support
"Oil, Gas & Petrochemicals",Upstream Operations,Well Integrity Management
"Oil, Gas & Petrochemicals",Upstream Operations,Well Planning Support
Professional Services,Accounting & Tax,Audit Services
Professional Services,Accounting & Tax,Bookkeeping & Reporting
Professional Services,Accounting & Tax,Corporate Tax Advisory
Professional Services,Accounting & Tax,Payroll Services
Professional Services,Accounting & Tax,Statutory Accounts Preparation
Professional Services,Accounting & Tax,Transfer Pricing Support
Professional Services,Accounting & Tax,VAT Advisory
Professional Services,Consulting & Advisory,Change Management
Professional Services,Consulting & Advisory,Data & Analytics Advisory
Professional Services,Consulting & Advisory,Digital Transformation Advisory
Professional Services,Consulting & Advisory,Operating Model Design
Professional Services,Consulting & Advisory,PMO Setup & Governance
Professional Services,Consulting & Advisory,Process Re-engineering
Professional Services,Consulting & Advisory,Strategy Consulting
Professional Services,Consulting & Advisory,Sustainability Advisory
Professional Services,Customer Operations,Call Centre Operations
Professional Services,Customer Operations,Complaints Handling
Professional Services,Customer Operations,Customer Experience Design
Professional Services,Customer Operations,Customer Success Management
Professional Services,Customer Operations,Customer Support (Tier 1)
Professional Services,Customer Operations,Customer Support (Tier 2)
Professional Services,Facilities & Estates,Building Compliance Management
Professional Services,Facilities & Estates,Cleaning Services Management
Professional Services,Facilities & Estates,Facilities Maintenance
Professional Services,Facilities & Estates,Security & Access Control
Professional Services,Facilities & Estates,Space Planning
Professional Services,Facilities & Estates,Utilities Management
Professional Services,IT Operations,Backup & Recovery Operations
Professional Services,IT Operations,Endpoint Management
Professional Services,IT Operations,IT Asset Management
Professional Services,IT Operations,IT Service Management (ITIL)
Professional Services,IT Operations,Identity Administration
Professional Services,IT Operations,Network Administration
Professional Services,Marketing,Brand Strategy
Professional Services,Marketing,Content Marketing
Professional Services,Marketing,Demand Generation
Professional Services,Marketing,Marketing Automation
Professional Services,Marketing,PR & Communications
Professional Services,Marketing,SEO/SEM
Professional Services,Operations,Capacity Planning
Professional Services,Operations,Operational Reporting
Professional Services,Operations,Performance Management
Professional Services,Operations,Process Mapping
Professional Services,Operations,Service Operations Management
Professional Services,Operations,Standard Operating Procedures
Professional Services,Product Management,Go-to-Market Planning
Professional Services,Product Management,Pricing Strategy
Professional Services,Product Management,Product Analytics
Professional Services,Product Management,Product Discovery
Professional Services,Product Management,Requirements Management
Professional Services,Product Management,Roadmap Management
Professional Services,Sales & Commercial,B2B Sales
Professional Services,Sales & Commercial,Channel Partner Management
Professional Services,Sales & Commercial,Contract Negotiation Support
Professional Services,Sales & Commercial,Enterprise Sales
Professional Services,Sales & Commercial,Key Account Management
Professional Services,Sales & Commercial,Proposal Development
Professional Services,Engineering & Technical Services,Certification Support Services
Professional Services,Engineering & Technical Services,Independent Verification & Validation (IV&V)
Professional Services,Engineering & Technical Services,Technical Authoring
Professional Services,Engineering & Technical Services,Technical Documentation
Professional Services,Engineering & Technical Services,Technical Training Delivery
Professional Services,Engineering Consultancy & Assurance,Design Assurance Support
Professional Services,Engineering Consultancy & Assurance,Hazard Analysis Support
Professional Services,Engineering Consultancy & Assurance,Independent Design Review
Professional Services,Engineering Consultancy & Assurance,RAMS Analysis Support
Professional Services,Engineering Consultancy & Assurance,Safety Engineering Support
Professional Services,Engineering Consultancy & Assurance,Technical Due Diligence
Professional Services,Engineering Consultancy & Assurance,Value Engineering Workshops
Professional Services, Information Security & Privacy,BCP/DR Planning
Professional Services, Information Security & Privacy,Data Protection Impact Assessments (DPIA)
Professional Services, Information Security & Privacy,GDPR Compliance Programme
Professional Services, Information Security & Privacy,ISO 27001 ISMS Implementation
Professional Services, Information Security & Privacy,SOC 2 Readiness
Professional Services, Information Security & Privacy,Secure-by-Design Governance
Professional Services, Information Security & Privacy,Security Incident Response
Professional Services, Information Security & Privacy,Third-Party Risk Management
Professional Services, Quality & Management Systems,Continuous Improvement (Lean/Six Sigma)
Professional Services, Quality & Management Systems,Corrective & Preventive Actions (CAPA)
Professional Services, Quality & Management Systems,Document Control & SOP Management
Professional Services, Quality & Management Systems,ISO 14001 EMS Implementation
Professional Services, Quality & Management Systems,ISO 45001 OHSMS Implementation
Professional Services, Quality & Management Systems,ISO 9001 QMS Implementation
Professional Services, Quality & Management Systems,Internal Auditing
Professional Services, Quality & Management Systems,Supplier Quality Management
Professional Services, Regulatory & Legal Compliance,Contract Review & Negotiation
Professional Services, Regulatory & Legal Compliance,Environmental Permitting
Professional Services, Regulatory & Legal Compliance,Ethics & Anti-Bribery Programme
Professional Services, Regulatory & Legal Compliance,Export Control Compliance
Professional Services, Regulatory & Legal Compliance,Health & Safety Compliance
Professional Services, Regulatory & Legal Compliance,Public Procurement Compliance
Professional Services, Regulatory & Legal Compliance,Sanctions Compliance
Professional Services,Human Capital & HR,HR Policy Design
Professional Services,Human Capital & HR,Learning & Development
Professional Services,Human Capital & HR,Recruitment Services
Professional Services,Human Capital & HR,Talent Assessment
Professional Services,Human Capital & HR,Workforce Planning
Professional Services,Legal Services,Commercial Contracts
Professional Services,Legal Services,Data Protection Legal Support
Professional Services,Legal Services,Employment Law Support
Professional Services,Legal Services,Intellectual Property Advisory
Professional Services,Legal Services,Litigation Support
Professional Services,Legal Services,Public Law & Procurement
Professional Services,Procurement & Commercial Advisory,Category Strategy Development
Professional Services,Procurement & Commercial Advisory,Competitive Tendering Support
Professional Services,Procurement & Commercial Advisory,Contract Mobilisation Support
Professional Services,Procurement & Commercial Advisory,Cost Benchmarking Analysis
Professional Services,Procurement & Commercial Advisory,Procurement Policy Design
Professional Services,Procurement & Commercial Advisory,Supplier Negotiation Support
Public Sector Delivery,Government Procurement & Bidding,Bid/Proposal Writing
Public Sector Delivery,Government Procurement & Bidding,Contract Performance Reporting
Public Sector Delivery,Government Procurement & Bidding,Framework Application Support
Public Sector Delivery,Government Procurement & Bidding,Mobilisation Planning
Public Sector Delivery,Government Procurement & Bidding,Pricing & Cost Modelling
Public Sector Delivery,Government Procurement & Bidding,Social Value Planning
Public Sector Delivery,Government Procurement & Bidding,Supply Chain Due Diligence
Public Sector Delivery,Government Procurement & Bidding,Tender Response Management
Public Sector Delivery,Justice & Courts Services,Case File Digitisation (Courts)
Public Sector Delivery,Justice & Courts Services,Court Administration Operations
Public Sector Delivery,Justice & Courts Services,Legal Aid Casework Support
Public Sector Delivery,Justice & Courts Services,Prison Education Services Support
Public Sector Delivery,Justice & Courts Services,Probation Support Operations
Public Sector Delivery,Public Service Operations,Asset & Facilities Management
Public Sector Delivery,Public Service Operations,Case Management Operations
Public Sector Delivery,Public Service Operations,Citizen Service Design
Public Sector Delivery,Public Service Operations,Field Service Delivery
Public Sector Delivery,Public Service Operations,Service Desk Operations
Public Sector Delivery,Public Service Operations,Training Delivery for Public Bodies
Public Sector Delivery,Social Care & Community Services,Adult Social Care Operations Support
Public Sector Delivery,Social Care & Community Services,Benefits Processing Operations
Public Sector Delivery,Social Care & Community Services,Care Provider Contract Management
Public Sector Delivery,Social Care & Community Services,Children's Services Operations Support
Public Sector Delivery,Social Care & Community Services,Housing Services Case Management
Public Sector Delivery,Social Care & Community Services,Safeguarding Casework Support
Real Estate,Building Operations,Building Management System (BMS) Operations
Real Estate,Building Operations,Compliance Inspections Scheduling
Real Estate,Building Operations,Energy Procurement (Buildings)
Real Estate,Building Operations,Helpdesk Operations (Facilities)
Real Estate,Building Operations,Planned Preventative Maintenance (PPM)
Real Estate,Building Operations,Vendor Management (Facilities)
Real Estate,Construction & Development,Development Finance Support
Real Estate,Construction & Development,Land Acquisition Support
Real Estate,Construction & Development,Planning Permission Support
Real Estate,Facilities Operations,Building Maintenance Services
Real Estate,Facilities Operations,Cleaning & Janitorial Services
Real Estate,Facilities Operations,Energy Management (Buildings)
Real Estate,Facilities Operations,Security Guard Services
Real Estate,Property Investment Services,Commercial Leasing Management
Real Estate,Property Investment Services,Property Due Diligence Support
Real Estate,Property Investment Services,Real Estate Portfolio Management
Real Estate,Property Investment Services,Tenant Relationship Management
Real Estate,Property Services,Building Compliance Management
Real Estate,Property Services,Facilities Management Operations
Real Estate,Property Services,Lease Administration
Real Estate,Property Services,Property Asset Management
Real Estate,Property Services,Property Development Management
Real Estate,Property Services,Property Valuation Support
Renewable Energy,"Biomass inc Biodiesel, Biogas, etc.",Biodiesel
Renewable Energy,"Biomass inc Biodiesel, Biogas, etc.",Biogas
Renewable Energy,"Biomass inc Biodiesel, Biogas, etc.",Biomass Energy
Renewable Energy,"Biomass inc Biodiesel, Biogas, etc.",Ethanol
Renewable Energy,Hydro Power,
Renewable Energy,Solar Energy,
Renewable Energy,Wind Energy,
Renewable Materials,Renewable material processing,
Renewable Materials,Renewable material production,
Renewable Materials,Renewable product development,
Research & Development,Bioenergy,
Research & Development,Biological Science,
Research & Development,Healty & Wellbeing,
Research & Development,Laboratory Analysis,
Research & Development,Renewable & Novel Materials,
Retail & eCommerce,Customer Experience Operations,Call Centre Operations (Retail)
Retail & eCommerce,Customer Experience Operations,Customer Loyalty Programme Management
Retail & eCommerce,Customer Experience Operations,Digital Marketing Campaign Management
Retail & eCommerce,Customer Experience Operations,Omnichannel Customer Support
Retail & eCommerce,Retail Operations,Inventory Replenishment Operations
Retail & eCommerce,Retail Operations,Loss Prevention Operations
Retail & eCommerce,Retail Operations,Merchandising & Category Operations
Retail & eCommerce,Retail Operations,Point-of-Sale (POS) Implementation
Retail & eCommerce,Retail Operations,Retail Workforce Scheduling
Retail & eCommerce,Retail Operations,Store Operations Management
Retail & eCommerce,Supply & Distribution,Distribution Centre Operations
Retail & eCommerce,Supply & Distribution,Omnichannel Fulfilment
Retail & eCommerce,Supply & Distribution,Retail Demand Forecasting
Retail & eCommerce,Supply & Merchandising,Private Label Development
Retail & eCommerce,Supply & Merchandising,Product Sourcing Operations
Retail & eCommerce,Supply & Merchandising,Retail Pricing Optimisation
Retail & eCommerce,Supply & Merchandising,Visual Merchandising Execution
Retail & eCommerce,Supply Chain Retail Operations,Assortment Planning Support
Retail & eCommerce,Supply Chain Retail Operations,Markdown Optimisation Operations
Retail & eCommerce,Supply Chain Retail Operations,Planogram Execution Support
Retail & eCommerce,Supply Chain Retail Operations,Retail Allocation Planning
Retail & eCommerce,Supply Chain Retail Operations,Store Labour Planning
Retail & eCommerce,Supply Chain Retail Operations,Store Replenishment Planning
Retail & eCommerce,eCommerce Platforms,Marketplace Integration
Retail & eCommerce,eCommerce Platforms,Order Fulfilment Integration
Retail & eCommerce,eCommerce Platforms,Payment Processing Integration
Retail & eCommerce,eCommerce Platforms,Product Information Management (PIM)
Retail & eCommerce,eCommerce Platforms,Returns Management Operations
Retail & eCommerce,eCommerce Platforms,eCommerce Platform Implementation
Services,Archiving,
Services,Commissioning,
Services,Consultancy,
Services,Distribution Service,
Services,Installation,
Services,Kanban Service,
Services,Lobbying,
Services,Maintenance & Service,
Services,Marketing Consultancy,
Services,Mould Design service,
Services,Production-line Feed Service,
Services,Promotion,
Services,Publishing,
Services,Recruitment,
Services,Retail,
Services,Site Survey Service,
Services,Surveying Services,
Services,Training & Education,
Services,Translation,
Services,Waste Management,
Services,Waste recycling,
Sintering,Laser Sintering,
Supply Chain,Global Supply Management,
Supply Chain,Logistics & Warehousing,
Supply Chain,Material Handling & Packaging,
Supply Chain,Procurement,
Supply Chain,Supply Chain Management,
Supply Chain & Logistics,International Trade Operations,Import/Export Documentation Processing
Supply Chain & Logistics,International Trade Operations,Incoterms Advisory Services
Supply Chain & Logistics,International Trade Operations,Letter of Credit Processing
Supply Chain & Logistics,International Trade Operations,Trade Compliance Screening
Supply Chain & Logistics,International Trade Operations,Trade Finance Operations
Supply Chain & Logistics,Logistics Operations,Cold Chain Logistics
Supply Chain & Logistics,Logistics Operations,Customs Brokerage
Supply Chain & Logistics,Logistics Operations,Fleet Management
Supply Chain & Logistics,Logistics Operations,Freight Forwarding
Supply Chain & Logistics,Logistics Operations,Inventory Management
Supply Chain & Logistics,Logistics Operations,Last-mile Delivery
Supply Chain & Logistics,Logistics Operations,Warehousing Operations
Supply Chain & Logistics,Planning & Inventory,Inventory Optimisation
Supply Chain & Logistics,Planning & Inventory,MRP Planning Operations
Supply Chain & Logistics,Planning & Inventory,Order Promising (ATP) Support
Supply Chain & Logistics,Planning & Inventory,S&OP Process Operations
Supply Chain & Logistics,Planning & Inventory,Safety Stock Optimisation
Supply Chain & Logistics,Planning & Inventory,Supplier Lead Time Optimisation
Supply Chain & Logistics,Procurement & Supplier Management,Category Management
Supply Chain & Logistics,Procurement & Supplier Management,Contract Management (Supply)
Supply Chain & Logistics,Procurement & Supplier Management,Cost Reduction Programmes
Supply Chain & Logistics,Procurement & Supplier Management,Strategic Sourcing
Supply Chain & Logistics,Procurement & Supplier Management,Supplier Audits
Supply Chain & Logistics,Procurement & Supplier Management,Supplier Onboarding
Supply Chain & Logistics,Transportation Operations,Air Freight Operations
Supply Chain & Logistics,Transportation Operations,Fleet Route Optimisation
Supply Chain & Logistics,Transportation Operations,Ocean Freight Operations
Supply Chain & Logistics,Transportation Operations,Rail Freight Coordination
Supply Chain & Logistics,Transportation Operations,Road Transport Dispatch
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Automation (Warehouse) Support
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Cross-docking Operations
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Inventory Cycle Counting Operations
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Pick-Pack Operations
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Returns Processing (Warehouse)
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Value-added Logistics (VAL)
Supply Chain & Logistics,Warehouse & Fulfilment Operations,WMS Implementation Support
Supply Chain & Logistics,Warehouse & Fulfilment Operations,Warehouse Slotting Optimisation
Telecommunications,Core Network & Services,5G Core (5GC) Operations
Telecommunications,Core Network & Services,CDN Interconnect Operations
Telecommunications,Core Network & Services,Carrier Ethernet Operations
Telecommunications,Core Network & Services,DNS/DHCP/IPAM Operations
Telecommunications,Core Network & Services,Diameter Signalling Operations
Telecommunications,Core Network & Services,IMS Core Operations
Telecommunications,Core Network & Services,Peering & Transit Operations
Telecommunications,Core Network & Services,VoLTE Service Operations
Telecommunications,Field Build & Maintenance,Antenna & Radio Installation
Telecommunications,Field Build & Maintenance,Cell Tower Civil Works
Telecommunications,Field Build & Maintenance,Drive Testing Operations
Telecommunications,Field Build & Maintenance,Fibre OTDR Testing
Telecommunications,Field Build & Maintenance,Fibre Splicing Operations
Telecommunications,Field Build & Maintenance,In-building DAS Installation
Telecommunications,Field Build & Maintenance,Small Cell Deployment
Telecommunications,Field Build & Maintenance,Telecoms Preventative Maintenance
Telecommunications,Network Engineering & Operations,4G/LTE Optimisation
Telecommunications,Network Engineering & Operations,5G Site Deployment
Telecommunications,Network Engineering & Operations,Core Network Operations
Telecommunications,Network Engineering & Operations,Fibre Network Build (FTTP/FTTC)
Telecommunications,Network Engineering & Operations,Field Engineering (Telecoms)
Telecommunications,Network Engineering & Operations,IP/MPLS Network Engineering
Telecommunications,Network Engineering & Operations,Microwave Backhaul Design
Telecommunications,Network Engineering & Operations,NOC Operations
Telecommunications,Network Engineering & Operations,Network Capacity Planning
Telecommunications,Network Engineering & Operations,Network Fault Management
Telecommunications,Network Engineering & Operations,Network Performance Monitoring
Telecommunications,Network Engineering & Operations,RAN Optimisation
Telecommunications,Network Engineering & Operations,Radio Access Network (RAN) Planning
Telecommunications,Network Engineering & Operations,Service Provisioning
Telecommunications,OSS/BSS & Service Platforms,BSS Integration
Telecommunications,OSS/BSS & Service Platforms,Billing System Implementation
Telecommunications,OSS/BSS & Service Platforms,CRM for Telecoms Implementation
Telecommunications,OSS/BSS & Service Platforms,Network Inventory Management Systems
Telecommunications,OSS/BSS & Service Platforms,OSS Integration
Telecommunications,OSS/BSS & Service Platforms,Order Management Systems
Telecommunications,OSS/BSS & Service Platforms,SIM Provisioning & Management
Telecommunications,OSS/BSS & Service Platforms,Service Assurance Platforms
Telecommunications,OSS/BSS & Service Platforms,VoIP/IMS Service Deployment
Telecommunications,Regulatory & Spectrum,Emergency Services (E112/E911) Integration
Telecommunications,Regulatory & Spectrum,Lawful Intercept Compliance Support
Telecommunications,Regulatory & Spectrum,Spectrum Planning Support
Telecommunications,Regulatory & Spectrum,Telecoms Regulatory Reporting
